SKU,name,price,short_description,image_large
X-627,جاكوزي 185*120سم  X-627,4500.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d5521253-e34e-4369-aefe-4ad2fdca9256-thumbnail-1000x1000-70.jpg
Q314,مغطس جاكوزى 175 *93  Q314,2993.0,<p>مغطس جاكوزى 175*93 </p><p>متوفر يمين ويسار <br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b747d64e-cff1-4e62-ab5a-23c7d4eb51b2-thumbnail-1000x1000-70.jpg
Q315,مغطس جاكوزى 180*120 - Q315,2993.0,<p>مغطس جاكوزى 180*120</p><p> متوفر يمين ويسار <br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/861e2b04-805c-4a86-a80c-68bb69e7b5f8-thumbnail-1000x1000-70.jpg
Q310,مغطس جاكوزى 180*130 - Q310,2993.0,<br>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/79c53d38-b2e5-44cf-a51d-2864dc4479c3-thumbnail-1000x1000-70.jpg
Q334,مغطس جاكوزى 150*150 زاوية - Q334,4199.0,مغطس جاكوزى 150,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/6f83e5ba-8e00-4426-a675-2a9b0fa213b5-thumbnail-1000x1000-70.jpg
Q322N,مغطس جاكوزى 140*140 زاوية - Q322N,5020.0,مغطس جاكوزى 140*140 زاوية,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/17b37cbc-f019-4d41-b74b-19d157f054a3-thumbnail-1000x1000-70.jpg
Y842A,كابينة شاور بخار 150*150سم - Y842A,8498.0,كابينة بخار  150,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f3f3de13-5f42-4c1e-9c47-bef66cc2befb-thumbnail-1000x1000-70.jpg
Y839,كابينة شاور بخار 120*120سم - Y839,6395.0,كابينة شاور بخار 120*1201,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/80dc3bea-5212-4099-ad97-0f64b8900a7f-thumbnail-1000x1000-70.jpg
