SKU,name,price,short_description,image_large
PL-816-150,بانيو بلوتو متنقل - PL-816-150,993.0,<p><b>بانيو بلوتو متنقل </b><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e2b379a9-0ba8-4488-a8f4-3929f2af0b50-thumbnail-1000x1000-70.jpg
PL-816-170,بانيو بلوتو متنقل  PL-816-170,993.0,<p><b>بانيو بلوتو متنقل </b><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f2fd8699-1881-4eec-990c-fce3ccdc8e44-thumbnail-1000x1000-70.jpg
A-04-150,بانيو متنقل  150*75 - A-04-150,1693.0,<b>بانيو بلوتو المتنقل </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2917493e-8910-45cb-a5dd-61f8cbd035e2-thumbnail-1000x1000-70.jpg
A-05,بانيو متنقل  160*80 - A-05,1893.0,<b>بانيو بلوتو المتنقل </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/56481182-1b12-448f-86a0-d65c9cc98bed-thumbnail-1000x1000-70.jpg
A-40,بانيو متنقل ابيض 170*80 - A-40,1893.0,<b>بانيو بلوتو المتنقل </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/468c7921-7e61-4117-9e0e-729a0b7eac6c-thumbnail-1000x1000-70.jpg
