SKU,name,price,short_description,image_large
PL703-100,مغسلة ديكور بلوتو PL703-100 مع مرايا ,1300.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/484fec03-be1e-4f1a-b8b2-732a60bacb34-thumbnail-1000x1000-70.jpg
PL902-200-2,مغسلة ديكور بلوتو 200 + مرايا -PL902-200-2,1993.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/ea506898-d30c-4eb9-9228-3b3959ce0b70-thumbnail-1000x1000-70.jpg
DO-6-120, مغسلة ديكور 120 سم -DO-6-120,999.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c9036992-9728-4cd9-ae35-45dc87ef4397-thumbnail-1000x1000-70.jpg
DO-8,مغسلة ديكور-DO-8 ,793.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b5a575f5-5078-43ee-bb5c-573f5601e5e1-thumbnail-1000x1000-70.jpg
DO-5,مغسلة ديكور DO-5 ,693.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/dbbcf201-4737-46e1-829e-d0528bb7c63a-thumbnail-1000x1000-70.jpg
PL538-80-2,مغسلة ديكور بلوتو  80 +مرايا -PL538-80-2,593.0,مغسلة ديكور بلوتو 80+مرايا,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/de176686-d2b8-4cff-a567-7724b22b16bf-thumbnail-1000x1000-70.jpg
PL907-150-2,مغسلة ديكور بلوتو 150+مرايا -PL907-150-2,1393.0,مغسلة ديكور بلوتو 150+مرايا,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e8d48d66-4624-4487-a0af-eb8ab98c56be-thumbnail-1000x1000-70.jpg
PL907-150-1,مغسلة ديكور بلوتو 150+مرايا -PL907-150-1,1393.0,مغسلة ديكور بلوتو 150+مرايا,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f63d9f1c-2843-489b-847f-17c5b47fcc12-thumbnail-1000x1000-70.jpg
PL904-150-2,مغسلة ديكور بلوتو 150+مرايا -PL904-150-2,1393.0,مغسلة ديكور بلوتو 150+مرايا,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/54cb30c2-c848-4945-afcc-b262b340a2b1-thumbnail-1000x1000-70.jpg
PL904-150-1,مغسلة ديكور بلوتو 150+مرايا -PL904-150-1,1393.0,مغسلة ديكور بلوتو 150+مرايا,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/46fe7bea-f381-478d-be2b-8986b84d1097-thumbnail-1000x1000-70.jpg
PL532-80-2, مغسلة ديكور بلوتو  80 +مرايا -PL532-80-2,799.0,<p>مغسلة ديكور بلوتو 80 +مرايا<br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2fc2e79e-1cab-42e3-97b2-2f4e59c27fb6-thumbnail-1000x1000-70.jpg
DO-7-120,مغسلة ديكور دودو + مرايا -DO-7-120,999.0,مغسلة دودو خشب ( plywood ) 120 سم,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/b17257a8-e900-47fe-897e-3043c7102d07-thumbnail-1000x1000-70.jpg
AR151,مغسلة ديكور أرونا AR151,345.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/ff5042b7-e623-4013-9cec-75ce44d7cc5f-thumbnail-1000x1000-70.jpg
PL3050-5,مغسلة ديكور بلوتو 150+ مرايا  PL3050-5,1900.0,<p>مغسلة ديكور بلوتو 150+ مرايا <br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/81780904-6937-4f8c-84df-364d73884f5b-thumbnail-1000x1000-70.jpg
PL3050-1,مغسلة ديكور بلوتو 150+ مرايا  PL3050-1,1900.0,<p>مغسلة ديكور بلوتو 150+ مرايا<br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/60c26ad3-5156-4938-ac7f-26c3935d975a-thumbnail-1000x1000-70.jpg
AR1400-150,مغسلة أرونا حوضين 150 سم + مرايا - AR1400-150,1319.17,مغسلة أرونا حوضين 150 سم + مرايا,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/3a3cefa6-c1ad-4a76-ac40-9b24e481816d-thumbnail-1000x1000-70.jpg
PR328-120,مغسلة رخام حوضين 120سم + مرايا - PR328-120,1750.0,مغسلة رخام حوضين 120سم مراياتوب رخام كاونتر خشب معالج ضد المياه,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/db024256-5145-4301-ad1c-a61b400df8f2-thumbnail-1000x1000-70.jpg
PR332-150,مغسلة حوضين 150سم + مرايا - PR332-150,3622.5,مغسلة حوضين,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e5f7bc97-ae35-49c8-acd2-41dd17ac19fa-thumbnail-1000x1000-70.jpg
PL160-80,مغسلة ديكور حوض 80 سم + مرايا- PL160-80,900.0,<br>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2b0bd695-a43e-4da4-8b17-d526d830d7ba-thumbnail-1000x1000-70.jpg
PL-2317,مغسلة خزف مقاس 55 سم PL-2317,149.0,<b>مغسلة خزف تعليق</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/4159d8b8-663e-427b-b285-903c0fcf4b57-thumbnail-1000x1000-70.jpg
PL-2335,مغسلة خزف مقاس 56 سم - PL-2335,149.0,<b>مغسلة خزف تعليق</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/e8fc1470-1812-46fa-9a2b-23e94baed025-thumbnail-1000x1000-70.jpg
PL-2330,مغسلة خزف مقاس 55 سم - PL-2330,149.0,<b>مغسلة خزف تعليق </b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/242fdab7-3cdf-4026-90d0-61240366004c-thumbnail-1000x1000-70.jpg
PL-2323,مغسلة خزف مقاس 53 سم - PL-2323,149.0,<b>مغسلة خزف تعليق</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/8702cfbd-a5f4-446a-8a7e-c81819bd61bc-thumbnail-1000x1000-70.jpg
PL901-90,مغسلة حوض 90 سم + مرايا - PL901-90,1124.0,<br>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/ff0b86f6-9e31-47c3-991e-347e46e295fa-thumbnail-1000x1000-70.jpg
