SKU,name,price,short_description,image_large
PK15,خلاط مطبخ-  PK15  ,300.0,<b>خلاط مطابخ ومجالي</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/939d5973-005a-4072-8b10-5b6a1432b83f-thumbnail-1000x1000-70.jpg
PK14, خلاط مطبخ-  PK14  ,350.0,<b>خلاط مطابخ ومجالي</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/bd543687-4286-48ed-a003-ea1f1d1f8c16-thumbnail-1000x1000-70.jpg
PP10130,حوض مطبخ  سمارت مع سيستم كامل - PP10130,1200.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/668f456b-488d-499a-96d9-b23f8232d143-thumbnail-1000x1000-70.jpg
PK11,خلاط مطبخ - PK11 ,294.0,<b>خلاط مطابخ ومجالي</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/253c84ba-3397-4e10-90c0-8227e1403a21-thumbnail-1000x1000-70.jpg
PK10,خلاط مطبخ- PK10,233.0,<b>خلاط مطابخ ومجالي</b>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/27c6e771-c214-4f62-a151-5af32d33d894-thumbnail-1000x1000-70.jpg
